movieId,genres,
1,1,
1,2,
1,3,
1,4,
1,5,
2,1,
2,3,
2,5,
3,4,
3,6,
4,4,
4,7,
4,6,
5,4,
6,8,
6,9,
6,10,
7,4,
7,6,
8,1,
8,3,
9,8,
10,8,
10,1,
10,10,
11,4,
11,7,
11,6,
12,4,
12,11,
13,1,
13,2,
13,3,
14,7,
15,8,
15,1,
15,6,
16,9,
16,7,
17,7,
17,6,
18,4,
19,4,
20,8,
20,4,
20,9,
20,7,
20,10,
21,4,
21,9,
21,10,
22,9,
22,7,
22,11,
22,12,
22,10,
23,8,
23,9,
23,10,
24,7,
24,13,
25,7,
25,6,
26,7,
27,3,
27,7,
28,7,
28,6,
29, The (Cité des enfants perdus,
29, The (Cité des enfants perdus,
29, The (Cité des enfants perdus,
29, The (Cité des enfants perdus,
29, The (Cité des enfants perdus,
30,9,
30,7,
31,7,
32,12,
32,13,
32,10,
33,1,
33,6,
33,17,
34,3,
34,7,
35,7,
35,6,
36,9,
36,7,
37,16,
37,17,
38,3,
38,4,
39,4,
39,6,
40, the Beloved Country (1995),
41,7,
41,14,
42,8,
42,9,
42,7,
43,7,
44,8,
44,1,
44,5,
45,4,
45,7,
45,10,
46,7,
46,6,
47,12,
47,10,
48,2,
48,3,
48,7,
48,15,
48,6,
49,7,
49,6,
50, The (1995),
50, The (1995),
50, The (1995),
51,8,
51,7,
51,10,
52,4,
52,7,
52,6,
53,1,
53,7,
54, The (1995),
54, The (1995),
55,7,
56,1,
56,3,
56,4,
56,5,
57,7,
58, The (Postino,
58, The (Postino,
58, The (Postino,
59, The (Confessionnal,
59, The (Confessionnal,
60, The (1995),
60, The (1995),
60, The (1995),
61,7,
61,10,
62,7,
63,4,
63,9,
64,4,
64,6,
65,4,
66,8,
66,13,
66,10,
67,7,
68,4,
68,6,
69,4,
70,8,
70,4,
70,11,
70,10,
71,8,
72,4,
72,7,
73, Les (1995),
73, Les (1995),
74,7,
74,6,
75,4,
75,7,
76,8,
76,13,
76,10,
77,16,
78, The (1995),
78, The (1995),
78, The (1995),
78, The (1995),
79, The (1996),
79, The (1996),
80, The (Badkonake sefid) (1995),
80, The (Badkonake sefid) (1995),
81,9,
81,7,
81,6,
82,4,
82,7,
83,7,
83,6,
84,4,
84,7,
85,7,
85,6,
86,8,
86,1,
86,7,
87,3,
87,4,
88,4,
89,8,
89,10,
90,7,
92,7,
92,11,
92,10,
93,4,
93,11,
93,6,
94,4,
94,7,
94,6,
95,8,
95,1,
95,10,
96,4,
96,7,
97, La) (1995),
97, La) (1995),
98,8,
98,10,
99,16,
100,7,
100,10,
101,1,
101,4,
101,9,
101,6,
102,4,
103,12,
103,13,
103,10,
104,4,
105, The (1995),
105, The (1995),
106,4,
106,7,
107,1,
107,3,
107,4,
107,15,
108,16,
109,4,
109,7,
109,10,
110,8,
110,7,
110,14,
111,9,
111,7,
111,10,
112,8,
112,1,
112,4,
112,9,
113,7,
113,12,
114,7,
115, Le) (1995),
116,16,
117, The (1995),
117, The (1995),
118,4,
118,6,
119, Steal Little (1995),
120,1,
120,4,
120,7,
121, The (1992),
122,4,
122,6,
123,7,
123,12,
123,6,
124, The (Uomo delle stelle,
125,4,
126, The (1994),
126, The (1994),
126, The (1994),
127, The (Saimt el Qusur) (1994),
128,16,
129,4,
129,6,
130,7,
131,7,
131,6,
132,10,
133,4,
133,7,
134,16,
135,4,
136,16,
137,16,
138, The (1995),
139,8,
139,7,
140,7,
140,6,
141, The (1996),
142,7,
143,7,
144, The (1995),
145,8,
145,4,
145,9,
145,7,
145,10,
146, The (1995),
146, The (1995),
147, The (1995),
148, An (1995),
149,9,
149,7,
149,10,
150,1,
150,7,
150,17,
151,8,
151,7,
151,6,
151,14,
152, The (1995),
152, The (1995),
153,8,
153,1,
153,4,
153,9,
154,7,
155,1,
155,7,
155,14,
156,4,
156,7,
157,4,
157,14,
158,1,
158,3,
159,9,
159,7,
159,12,
160,8,
160,1,
160,12,
160,13,
161,7,
161,10,
161,14,
162,16,
163,8,
163,6,
163,18,
164,9,
164,19,
164,12,
164,10,
165,8,
165,9,
165,10,
166, The (1995),
166, The (1995),
166, The (1995),
167,7,
168,8,
168,7,
168,6,
169,1,
169,3,
169,7,
170,8,
170,1,
170,9,
170,10,
171,4,
171,7,
172,8,
172,13,
172,10,
173,8,
173,9,
173,13,
174,4,
175,7,
176,4,
177,11,
178,4,
178,7,
179,7,
179,6,
180,4,
180,6,
181,8,
181,3,
182,7,
182,6,
183,4,
183,11,
183,10,
184,7,
185, The (1995),
185, The (1995),
185, The (1995),
186,4,
186,6,
187,4,
188, The (1995),
188, The (1995),
188, The (1995),
189,4,
189,5,
190,10,
191, The (1995),
191, The (1995),
192,16,
193,7,
194,4,
194,7,
195,4,
195,7,
195,6,
196,11,
196,13,
197, The (1995),
198,8,
198,9,
198,7,
198,12,
198,13,
198,10,
199, The (Parapluies de Cherbourg,
199, The (Parapluies de Cherbourg,
199, The (Parapluies de Cherbourg,
200, The (1995),
201,7,
201,5,
202,7,
202,6,
203, Thanks for Everything! Julie Newmar (1995),
204,8,
205,4,
205,7,
206,16,
207, A (1995),
207, A (1995),
208,8,
208,1,
208,13,
209,7,
210,18,
211, The (1994),
212,1,
212,4,
212,9,
212,12,
213,7,
214,7,
214,14,
215,7,
215,6,
216,4,
217, The (1995),
217, The (1995),
218,4,
218,7,
219, The (1995),
220,11,
222,7,
222,6,
223,4,
224,4,
224,7,
224,6,
225,7,
225,10,
226,10,
227,8,
227,10,
228,4,
229,7,
229,10,
230,7,
230,10,
231,1,
231,4,
232,4,
232,7,
232,6,
233,7,
234,4,
235,4,
235,7,
236,8,
236,4,
236,6,
237,4,
237,6,
238,1,
238,3,
239, A (1995),
239, A (1995),
239, A (1995),
239, A (1995),
240,10,
241,3,
241,7,
242,7,
242,15,
243,3,
243,4,
243,5,
244,2,
244,3,
245,9,
245,7,
246,16,
247,9,
247,7,
248,4,
249,7,
249,6,
250,3,
250,4,
251, The (1995),
252,4,
252,6,
253,7,
253,11,
254,7,
255, The (1995),
256,4,
256,13,
257,12,
257,10,
258, A (1995),
258, A (1995),
258, A (1995),
258, A (1995),
258, A (1995),
259,9,
259,7,
259,10,
260,8,
260,1,
260,13,
261,7,
262, A (1995),
262, A (1995),
263,7,
264, L' (1994),
265,7,
265,5,
265,6,
266,7,
266,6,
266,14,
266,18,
267,4,
268,9,
268,7,
269,7,
270,7,
270,6,
271,7,
272, The (1994),
272, The (1994),
273,7,
273,11,
273,13,
274,4,
275,4,
276,4,
276,6,
277,7,
278,4,
279,7,
280,7,
280,10,
281,4,
281,7,
281,6,
282,7,
283,9,
283,7,
284,8,
284,9,
285,7,
285,11,
286,8,
286,13,
286,10,
287,4,
287,6,
288,8,
288,9,
288,10,
289,4,
289,6,
290,9,
290,7,
292,8,
292,7,
292,13,
292,10,
293,8,
293,9,
293,7,
293,10,
294, The (1995),
294, The (1995),
295, A (1995),
295, A (1995),
296,4,
296,9,
296,7,
296,10,
297,7,
298,7,
299,7,
300,7,
301,7,
301,6,
302, La) (1994),
302, La) (1994),
303, The (1995),
303, The (1995),
303, The (1995),
304,4,
304,7,
305,4,
306,7,
307,7,
308,4,
308,7,
309, Green Firecracker (Pao Da Shuang Deng) (1994),
310,4,
311,11,
311,10,
312,4,
313, The (1994),
313, The (1994),
314, The (1994),
314, The (1994),
314, The (1994),
314, The (1994),
315, The (1994),
315, The (1994),
315, The (1994),
316,8,
316,1,
316,13,
317, The (1994),
317, The (1994),
317, The (1994),
318, The (1994),
318, The (1994),
319,4,
319,7,
319,10,
320,19,
320,10,
321,7,
322,4,
322,7,
324, The (1994),
324, The (1994),
325,4,
326,7,
327,8,
327,4,
327,13,
328,11,
328,10,
329,1,
329,7,
329,13,
330,8,
330,9,
330,11,
331,7,
332,11,
332,13,
333,4,
334,7,
335,12,
335,10,
336, The (1995),
336, The (1995),
337,7,
338,8,
338,13,
338,10,
339,4,
339,6,
340, The (1994),
340, The (1994),
340, The (1994),
341,7,
342,4,
343, The (1995),
344,4,
345, Queen of the Desert,
345, Queen of the Desert,
346,7,
346,15,
347,7,
347,19,
347,6,
348,4,
349,8,
349,9,
349,7,
349,10,
350, The (1994),
350, The (1994),
350, The (1994),
351, Corrina (1994),
351, Corrina (1994),
351, Corrina (1994),
352,4,
352,7,
353, The (1994),
353, The (1994),
353, The (1994),
353, The (1994),
354,7,
355, The (1994),
355, The (1994),
355, The (1994),
356,4,
356,7,
356,6,
356,14,
357,4,
357,6,
358,7,
359,4,
359,7,
359,6,
360,8,
360,4,
361,4,
361,7,
361,6,
362, The (1994),
362, The (1994),
362, The (1994),
363, Horrible Life of Leni Riefenstahl,
364, The (1994),
364, The (1994),
364, The (1994),
364, The (1994),
364, The (1994),
364, The (1994),
365,7,
366, A) (1994),
366, A) (1994),
366, A) (1994),
366, A) (1994),
367, The (1994),
367, The (1994),
367, The (1994),
367, The (1994),
368,1,
368,4,
368,18,
369,7,
370,8,
370,4,
371, The (1994),
371, The (1994),
372,4,
372,7,
372,6,
373,10,
374,3,
374,4,
375,7,
376, The (1994),
376, The (1994),
377,8,
377,6,
377,10,
378,4,
378,6,
379,8,
379,13,
379,10,
380,8,
380,1,
380,4,
380,6,
380,10,
381,7,
381,6,
382,7,
382,11,
382,6,
382,10,
383,18,
384,8,
384,9,
384,7,
385, A (1994),
386,7,
387, A (1994),
387, A (1994),
388,7,
389, Le (1994),
389, Le (1994),
389, Le (1994),
390,8,
390,9,
390,7,
391,9,
391,7,
392, The (1993),
392, The (1993),
393,8,
393,1,
393,5,
394,4,
395,7,
395,5,
395,6,
396,7,
397, The (1995),
398,16,
399,7,
400,7,
401,8,
401,10,
402,4,
403,4,
403,9,
403,7,
404,16,
405,8,
405,5,
406,7,
407,11,
407,10,
408,7,
409,9,
409,7,
410,3,
410,4,
410,5,
411,4,
411,16,
412, The (1993),
413,4,
414, The (1994),
415,4,
415,10,
416,18,
417,4,
417,6,
418,7,
419, The (1993),
420,8,
420,4,
420,9,
420,10,
421,1,
421,3,
421,7,
422,10,
423,8,
423,10,
424,7,
425,7,
425,6,
426,11,
426,13,
426,10,
427,7,
427,12,
427,6,
427,10,
428, A (1993),
429,4,
430,4,
430,7,
431,9,
431,7,
432,1,
432,4,
432,18,
433,4,
434,8,
434,1,
434,10,
435,4,
435,13,
436,7,
436,10,
437,4,
438, The (1994),
438, The (1994),
438, The (1994),
439,7,
440,4,
440,6,
441,4,
442,8,
442,1,
442,13,
443, The (1994),
443, The (1994),
444,4,
444,6,
445,4,
446,7,
446,6,
447, The (1994),
447, The (1994),
448,7,
449,4,
450,4,
450,7,
451,7,
451,12,
451,6,
452,7,
453,4,
453,6,
454, The (1993),
454, The (1993),
455,1,
455,3,
455,7,
456,9,
456,7,
456,10,
457, The (1993),
458,7,
458,18,
459, The (1994),
459, The (1994),
459, The (1994),
459, The (1994),
459, The (1994),
459, The (1994),
460,4,
461,7,
461,6,
462, A (1994),
462, A (1994),
463,9,
463,7,
463,10,
464,8,
464,1,
464,9,
464,10,
465,8,
465,7,
465,14,
466,8,
466,4,
466,14,
467,4,
468, The (1995),
468, The (1995),
469, The (1993),
469, The (1993),
470,4,
471, The (1994),
472,4,
472,7,
473,4,
473,14,
474,8,
474,10,
475,7,
476, The (1994),
476, The (1994),
477,7,
477,15,
478,4,
478,9,
478,7,
479,8,
479,9,
479,10,
480,8,
480,1,
480,13,
480,10,
481,7,
481,10,
482,9,
482,7,
482,10,
483,7,
484,1,
484,3,
485,8,
485,1,
485,4,
485,5,
486,4,
487,4,
487,18,
488,7,
488,6,
489,4,
490,10,
491, The (1993),
492,4,
492,12,
493,8,
493,9,
493,7,
494,8,
494,1,
494,10,
495,7,
496,4,
496,7,
496,6,
496,10,
497,4,
497,6,
498,7,
498,6,
499,4,
499,6,
500,4,
500,7,
501,7,
502, The (1994),
502, The (1994),
502, The (1994),
503, The (1994),
504,8,
504,7,
504,13,
505,4,
506,7,
506,5,
506,6,
507, A (1993),
507, A (1993),
507, A (1993),
508,7,
509, The (1993),
509, The (1993),
510,7,
511, The (1993),
511, The (1993),
512, The (1994),
512, The (1994),
513,4,
513,12,
513,6,
514, The (1994),
515, The (1993),
515, The (1993),
516,4,
516,7,
517,8,
517,7,
517,12,
518, The (1994),
519,8,
519,9,
519,7,
519,13,
519,10,
520,4,
521,9,
521,10,
522,8,
522,7,
523,7,
524,7,
525, The (1993),
526, Les) (1992),
527,7,
527,14,
528, The (1994),
528, The (1994),
529,7,
530,7,
531, The (1993),
531, The (1993),
532,4,
532,9,
532,11,
533, The (1994),
533, The (1994),
533, The (1994),
533, The (1994),
534,7,
534,6,
535,7,
536, A (1994),
537,7,
538,7,
539,4,
539,7,
539,6,
540,10,
541,8,
541,13,
541,10,
542,4,
542,7,
542,6,
543,4,
543,6,
543,10,
544,8,
544,9,
546,8,
546,1,
546,3,
546,4,
546,5,
546,13,
547,8,
547,1,
547,10,
548,8,
548,12,
548,10,
549,7,
549,15,
